,Symbol
403,AMDHD2
404,PCK2
405,MAP2K5
406,TAS2R42
407,PNMA2
408,NR4A3
409,HGF
410,MAPK3
411,PSTPIP2
412,SDR9C7
413,CDC123
414,ZBTB44
415,ATP6V1D
416,MDH1B
417,LGALSL
418,MRGPRD
419,ERBB4
420,NR2F6
421,ATF1
422,SLC12A6
423,NCSTN
424,BNC2
425,TRIM37
426,EXOSC4
427,RING1
428,GCG
429,ISOC1
430,PTK2
431,MAFK
432,INSL5
433,HMGCR
434,PRMT7
435,SNX11
436,PITPNA
437,C1QA
438,MCM9
439,SHROOM3
440,FRMD1
441,ITPKB
442,PRDM5
443,CASP7
444,OSGIN2
445,ACAT2
446,TIPARP
447,DUSP6
448,IL6ST
449,ADCY10
450,PEAR1
451,RNF181
452,IL17F
453,ENO3
454,NNT
455,EPAS1
456,ZC3HAV1
457,MSH6
458,CTCFL
459,KCNJ3
460,COX7A2L
461,WDR47
462,HDAC4
463,FRS2
464,HMX1
465,CDK7
466,SKIC2
467,FIGN
468,WDR5
469,FBXO8
470,ATAD5
471,DNAJB2
472,HSPA4
473,SIVA1
474,CSRNP1
475,RET
476,PROX2
477,MCMBP
478,OR2C3
479,IKBKB
480,TMEM64
481,ZCCHC17
482,PKP4
483,RBKS
484,KRT32
485,FZD1
486,YBX2
487,DEFB116
488,HAPLN4
489,SLC25A13
490,HESX1
491,BZW2
492,ARHGEF19
493,PTTG1IP
494,FMO2
495,RNASE2
496,IL9
497,SGK2
498,TMEM53
499,PKIG
500,ACAA1
501,MTMR9
502,HYAL2
503,GGPS1
504,PNP
505,ANKRD49
506,RPN2
507,HIPK4
508,PDE8A
509,LEP
510,PPCDC
511,CIB3
512,PPIL1
513,STXBP1
514,ABL1
515,NFATC3
516,ZRANB1
517,SUGP2
518,SACS
519,PRDM10
520,SLAMF1
521,EXOC3
522,MTHFD2
523,RNASE3
524,TRIM45
525,IRX3
526,MYL5
527,AKAP8
528,CDK19
529,PAK4
530,MCHR1
531,OR51I2
532,OTUD4
533,CANT1
534,KLHL36
535,RFC5
536,ARRB1
537,UNC13D
538,CRKL
539,SLC25A20
540,H2BC12
541,S100A1
542,ZNF7
543,USP4
544,ARFGAP1
545,DECR2
546,USP6
547,PLS1
548,BMP2
549,CHIC2
550,SURF6
551,VNN3P
552,NUP85
553,IFNA8
554,KLK12
555,SVOP
556,AARS2
557,WFS1
558,TACO1
559,TXNDC9
560,DFFA
561,ERBB2
562,CATSPERD
563,BFAR
564,ZNF195
565,SMARCB1
566,DDX6
567,GALC
568,SRSF12
569,DSG1
570,RAD51AP2
571,DDR1
572,MDM4
573,APOE
574,RBP7
575,NTN4
576,PSG9
577,TOR1AIP1
578,LRP10
579,SLC25A46
580,STAT5B
581,STOML3
582,IARS2
583,TMEM33
584,PYCARD
585,MED23
586,SLC35F3
587,ZNF71
588,LRPAP1
589,PDZD7
590,B3GNT9
591,F13A1
592,DAXX
593,HERC6
594,FAP
595,PHYHIP
596,ABCA8
597,PAPSS2
598,SPIC
599,EHMT2
600,ATP6V1E2
601,PDE9A
602,TTC8
603,CREG1
604,AURKA
605,SRGAP1
606,CEP72
607,TMEM18
608,DBR1
609,HSPA5
610,ATF7
611,FABP1
612,EIF1B
613,ICA1L
614,DERA
615,IGFBP3
616,REPS1
617,HLA-DRA
618,PPP2R5A
619,EGLN1
620,GNPDA1
621,GPRIN1
622,NXPH1
623,RBL2
624,KANSL1
625,ODAD2
626,QPCTL
627,DHRS7
628,MON2
629,SLC16A4
630,MUC12
631,GREM1
632,RAC3
633,NPVF
634,SLC2A6
635,KDM2A
636,LRP4
637,TRIQK
638,MAST3
639,GP6
640,CD8A
641,CLPX
642,HSPA1A
643,ACBD3
644,UGDH
645,FEZ2
646,TAP1
647,APRT
648,HADH
649,KIF17
650,TUBB6
651,LYN
652,SLC5A6
653,DHX29
654,TSPAN4
655,DCUN1D2
656,TM9SF3
657,ARID3C
658,SLC7A1
659,BLNK
660,UGT2B15
661,CALCA
662,SLC37A4
663,OR2F2
664,AK5
665,PROK1
666,BBS2
667,ATF2
668,IDH1
669,DNAH14
670,RPS5
671,TMEM259
672,MS4A12
673,PACS1
674,EIF2B5
675,EFHC1
676,ZNF704
677,PKN1
678,KRTAP11-1
679,BRD1
680,PROS1
681,NET1
682,DYNLT1
683,SLC4A11
684,STARD3
685,VPS72
686,FLNB
687,TMCC2
688,ERCC5
689,CKAP4
690,PHKG2
691,KRTAP20-4
692,TLE1
693,TCFL5
694,KLHL3
695,ACTB
696,COG5
697,PDGFRA
698,UBASH3B
699,SNX21
700,PKM
701,SPAG16
702,ZIK1
703,PXMP4
704,PARVB
705,TRIM7
706,NDN
707,IDE
708,NNAT
709,NUP93
710,LIMD2
711,KCTD5
712,SET
713,PTGS2
714,GRB10
715,KLHDC2
716,CTNND1
717,DECR1
718,SLBP
719,GNG8
720,DDX60
721,RASSF4
722,TOR4A
723,FBXO21
724,EXT1
725,UFM1
726,CCNA1
727,NBL1
728,ZBTB14
729,PCBD1
730,DNAJB1
731,PEX6
732,DNTTIP2
733,OPTC
734,DEK
735,WDR24
736,POLR3A
737,MAN2A1
738,MLPH
739,CIAO3
740,ELOVL6
741,ITGB1BP1
742,RNF122
743,CATSPERB
744,OXCT1
745,PRTN3
746,TTC33
747,GRWD1
748,OSR1
749,ST3GAL5
750,RUNDC3B
751,MAP2K1
752,DNAJC15
753,MTFR1
754,PRCP
755,TRPM5
756,HMOX1
757,LRRK2
758,PDZD9
759,RPL30
760,DEPDC4
761,PRM2
762,PPM1M
763,CSF1R
764,ACTR6
765,BRD4
766,MAPKAPK3
767,LARP4
768,KIF25
769,HAO2
770,IGDCC3
771,CLEC10A
772,NPDC1
773,PGM2
774,BUB3
775,SLC27A5
776,RGS5
777,CD164L2
778,ZDHHC5
779,NPC1L1
780,CYP26B1
781,MSRB3
782,PPIE
783,ADO
784,GPSM1
785,SH2B1
786,VARS2
787,CTTN
788,P4HTM
789,BIRC3
790,ZNF76
791,CHKA
792,KCNQ4
793,NDUFA13
794,ATP6V1G1
795,BNIP3L
796,RAB6A
797,PLSCR1
798,RAD51C
799,HGD
800,PTER
801,SOX4
802,ULK2
803,CGRRF1
804,CDK4
805,PHF1
806,PCOLCE2
807,SLC25A45
808,LYSMD2
809,CCL20
810,AGL
811,GNB5
812,MDM2
813,GLIPR2
814,C2CD2L
815,AGAP3
816,RSU1
817,NR2F2
818,HNRNPU
819,G3BP1
820,EPB41L2
821,VWC2
822,SPAG4
823,DNAJB5
824,PARN
825,RFX5
826,NAMPT
827,C1RL
828,ZNF253
829,COG4
830,GPC1
831,MEGF8
832,JAKMIP2
833,ECH1
834,CCDC127
835,GPR160
836,HRNR
837,NFKBID
838,SNX22
839,RIT1
840,ZFAND1
841,CPNE7
842,FBXO11
843,MYCBP2
844,FGF11
845,SYPL1
846,TBP
847,KLHL24
848,ALDH3B2
849,THUMPD3
850,TEC
851,GPR146
852,ITPRID2
853,CTNNA3
854,CIAPIN1
855,SH3BP5
856,ETS1
857,MAP3K7
858,CBLB
859,IFNB1
860,DOK2
861,LPAR2
862,ZNF772
863,ABCA5
864,CEP97
865,USP7
866,FHIT
867,PARP1
868,TAAR8
869,MOSPD3
870,SLC25A38
871,SCUBE1
872,HDAC1
873,ZNF510
874,FAM20B
875,SLC39A10
876,STRA6
877,PIK3C3
878,PARP6
879,CSE1L
880,ECHS1
881,CHST11
882,LYPD3
883,CCDC92
884,YBEY
885,CLCN2
886,CAMK2B
887,TCIRG1
888,BMP4
889,CCDC90B
890,F13B
891,TFAP2A
892,PTK2B
893,DHX16
894,NCAPD2
895,SNRPA
896,USP30
897,ARHGEF15
898,MAPK11
899,KLHL11
900,TNFRSF9
901,LPIN2
902,ESR1
903,OR6N2
904,XAB2
905,CALU
906,CLDN4
907,NPRL2
908,SIX4
909,TLK2
910,RUVBL2
911,ALG8
912,STAT3
913,SRPK1
914,EZH1
915,ALK
916,GPR183
917,KRT85
918,PTPRM
919,LAT2
920,TMED4
921,PTMS
922,ARHGAP28
923,PRKAA2
