,Symbol
0,RRM1
1,PLEKHJ1
2,AASDH
3,FKBP4
4,KDM5A
5,HSPA2
6,SKIC8
7,ASB8
8,BID
9,TPRA1
10,CNPY3
11,PSMG1
12,CLEC1A
13,ESYT2
14,MFSD11
15,POLR2G
16,XKR6
17,ALDOB
18,HRG
19,GPX6
20,NDUFA2
21,TUBA1C
22,MAPK9
23,KCNK1
24,KRTAP1-5
25,EGR1
26,KLHL9
27,USP38
28,PRKAG2
29,SHD
30,PIP4K2B
31,TSGA10
32,RTF1
33,PDX1
34,RAB19
35,ZNF276
36,PLEKHA6
37,NFATC2
38,CCDC136
39,SRC
40,ANKRD28
41,ADRB2
42,EIF5
43,SETX
44,IQSEC3
45,DMBT1
46,CDC42BPB
47,SRA1
48,RAB31
49,MLLT11
50,GTF2B
51,FAM219A
52,MVP
53,PSG4
54,ZNF600
55,EYS
56,ARNT2
57,FGFBP1
58,STX1A
59,PREB
60,LRIG3
61,SNAPC4
62,RAB21
63,CDIP1
64,BAMBI
65,LGALS8
66,TES
67,SNAPIN
68,BAX
69,WFDC10B
70,GLRX5
71,SCGB1D2
72,NT5DC2
73,MRPS2
74,AURKAIP1
75,ANXA7
76,CCNE1
77,OR4K13
78,FAS
79,LRRC41
80,VAV3
81,STAMBP
82,PAK2
83,TMCC3
84,MRTFA
85,MTF2
86,CCND1
87,SART1
88,ARPP19
89,EXTL2
90,DYRK3
91,PIK3CD
92,ZEB1
93,SENP6
94,CSNK2A2
95,SETD1A
96,HUNK
97,USP32
98,NR1H2
99,KNDC1
100,SLC16A14
101,PIK3CB
102,SCARB1
103,B4GALT1
104,MARK4
105,RPA3
106,MYCBP
107,LRP12
108,KIF9
109,KRT3
110,TATDN2
111,ZNF862
112,IER3
113,PYCR1
114,NDUFAB1
115,PIK3R5
116,PTN
117,SMO
118,ANAPC10
119,HEBP1
120,CCL2
121,ZNF586
122,KLF6
123,RNF11
124,OVOL1
125,DPP8
126,TSPAN3
127,MNX1
128,SPTLC2
129,NPEPL1
130,CHUK
131,NTRK3
132,CACNA1E
133,TBC1D9B
134,MCOLN1
135,PSMD4
136,STAR
137,PYGL
138,KNTC1
139,ATP7B
140,SLC25A18
141,FGFR2
142,PIGB
143,CIRBP
144,CDR2L
145,NR2C2AP
146,SLC25A4
147,FCGR2A
148,UBE2L6
149,SPRYD7
150,TDRD7
151,RNF167
152,QRICH1
153,COPZ1
154,TIMM22
155,NRAS
156,PMP2
157,CLN5
158,MAN2C1
159,TGFBR1
160,PPP2R3C
161,PPIC
162,SLFN13
163,SPR
164,KIF21A
165,IGFL3
166,BCL7B
167,RAF1
168,PDE10A
169,TNKS2
170,SKP1
171,PRKACA
172,IL12B
173,CES4A
174,MAPK1
175,PPT1
176,ARHGEF40
177,ZDHHC6
178,BPIFB1
179,CAPZB
180,TMEM170B
181,MALT1
182,SPATA31D1
183,TNFRSF13B
184,RAB4A
185,TPGS2
186,TBXA2R
187,RAD51D
188,MAP3K4
189,ZNF202
190,ATP6V1B2
191,IL20RA
192,ATG12
193,VCL
194,CD63
195,MRPS26
196,MBTPS1
197,PEX13
198,HES1
199,NSMCE1
200,CCL21
201,INTS3
202,MBNL2
203,AEBP1
204,CYP2W1
205,ARIH2
206,DENND2D
207,CRLS1
208,RRP9
209,VPS35
210,BAD
211,EGFR
212,ADI1
213,DESI1
214,SUPT20H
215,AXL
216,CLK4
217,GUCA2B
218,ZNF451
219,IARS1
220,UBE3B
221,PTPRK
222,KDM3A
223,PCBP2
224,MAPKAPK2
225,KRTAP22-1
226,CDKN2A
227,PIK3CA
228,DCTN2
229,S100A4
230,TGFB1I1
231,ANK1
232,RUVBL1
233,GNG2
234,NR1H4
235,ZNF395
236,PTPN1
237,TXNL4B
238,RNF152
239,YTHDF1
240,CHEK2
241,AGPAT2
242,WEE1
243,COLEC12
244,DYNC2LI1
245,SCD
246,ALDH7A1
247,PCDHB12
248,MBNL1
249,CCNF
250,ATRN
251,C2CD5
252,OR1G1
253,INSIG1
254,HEATR6
255,TRUB1
256,ZNF318
257,CCNA2
258,BRIP1
259,BRDT
260,SLC38A7
261,MEF2C
262,IGF2R
263,EZH2
264,POLE2
265,SQSTM1
266,TMC3
267,TTC32
268,FGF18
269,OR2A12
270,NDUFB1
271,ZDHHC19
272,BLVRA
273,BRAF
274,BPIFA1
275,CCDC146
276,NIPSNAP1
277,YPEL2
278,POLR1C
279,CLEC16A
280,NCAM1
281,STARD4
282,BRF2
283,CISD1
284,CCDC112
285,AMIGO1
286,ADH5
287,MFAP2
288,SPG7
289,TCEA2
290,CDKN2AIP
291,YKT6
