,Symbol
0,RRM1
1,FLNB
2,FKBP4
3,HSPA2
4,SRP68
5,CKAP4
6,EIF2A
7,BID
8,PNKP
9,COX5A
10,CTSB
11,CMPK1
12,CSDE1
13,CNOT2
14,CNPY3
15,ESYT2
16,PKM
17,NDUFA2
18,CPOX
19,TUBA1C
20,IDE
21,VAPB
22,PSMB7
23,SMC4
24,NUP93
25,SET
26,RTF1
27,PDHX
28,CTNND1
29,DECR1
30,UFM1
31,RAC1
32,EIF5
33,MTHFD1L
34,PCBD1
35,DNAJB1
36,GNA11
37,DNTTIP2
38,CAST
39,PLOD3
40,DEK
41,HYOU1
42,GTF2B
43,SMARCA4
44,SMU1
45,MVP
46,PWP1
47,MRGBP
48,PREB
49,GLRX
50,OXCT1
51,NOL7
52,GRWD1
53,RAB21
54,HDLBP
55,POLDIP3
56,F11R
57,SNAPIN
58,BAX
59,GLRX5
60,EBNA1BP2
61,EFTUD2
62,RRP1B
63,MRPS2
64,IRGQ
65,CCDC86
66,MRPS16
67,RPL30
68,ANXA7
69,LAP3
70,SRSF1
71,ATP1B1
72,SMARCC1
73,BRD4
74,LARP4
75,KTN1
76,CREB1
77,STAMBP
78,PAK2
79,PGM2
80,BUB3
81,SART1
82,GNG5
83,PPIE
84,CSNK2A2
85,CTTN
86,SLC27A4
87,ASPH
88,NDUFA13
89,ATAD2
90,PRKDC
91,ATP6V1G1
92,RPA3
93,CBR3
94,MYCBP
95,RHOA
96,COX5B
97,COASY
98,PSME1
99,CNDP2
100,PYCR1
101,NDUFAB1
102,NOP10
103,SAR1A
104,FDFT1
105,HEBP1
106,RSU1
107,HNRNPU
108,G3BP1
109,EPB41L2
110,TRAP1
111,NAMPT
112,RAB7A
113,ECH1
114,PSMD4
115,GTPBP1
116,WBP11
117,MRPL23
118,UBE2L3
119,CIRBP
120,SYPL1
121,ERGIC1
122,TPD52L2
123,NACC1
124,CIAPIN1
125,MRPL18
126,COPZ1
127,RNPS1
128,NRAS
129,SLC2A1
130,NDUFB2
131,METAP2
132,THOP1
133,SEC24C
134,MLEC
135,VAT1
136,PPIC
137,SPR
138,COPS7A
139,USP7
140,GNAI2
141,PARP1
142,CDK1
143,SKP1
144,PPT1
145,MAPK1
146,TSN
147,HDAC1
148,GFPT1
149,UQCRH
150,SLC39A10
151,CAPZB
152,TM9SF2
153,SRSF7
154,KIF2C
155,RPA2
156,RRP8
157,CSE1L
158,ECHS1
159,UFC1
160,YWHAZ
161,ATP6V1B2
162,MRPS26
163,VCL
164,DHX16
165,NCAPD2
166,SNRPA
167,RRP9
168,WDR70
169,VPS35
170,BAD
171,ADI1
172,XAB2
173,CALU
174,CRK
175,GEMIN5
176,RUVBL2
177,FAHD1
178,ARHGAP1
179,PRMT5
180,CRYZ
181,SWAP70
182,PCBP2
183,SRPK1
184,ACTR1A
185,DCTN2
186,LBR
187,RUVBL1
188,PGM1
189,INCENP
190,BLMH
191,PIN1
192,MPZL1
193,TMED4
194,EIF2S1
195,PTMS
196,PTPN1
197,SNX2
198,PTPN11
199,CDK5
200,HSPA8
201,TCERG1
202,DHODH
203,SNX6
204,POLR2I
