,Symbol
405,ZCCHC17
406,PKP4
407,RBKS
408,FZD1
409,YBX2
410,SLC25A13
411,HESX1
412,BZW2
413,ARHGEF19
414,PTTG1IP
415,RNASE2
416,SGK2
417,TMEM53
418,PKIG
419,ACAA1
420,MTMR9
421,HYAL2
422,GGPS1
423,PNP
424,ANKRD49
425,RPN2
426,HIPK4
427,PDE8A
428,PPCDC
429,CIB3
430,PPIL1
431,STXBP1
432,ABL1
433,NFATC3
434,ZRANB1
435,SUGP2
436,SACS
437,PRDM10
438,SLAMF1
439,EXOC3
440,MTHFD2
441,RNASE3
442,TRIM45
443,IRX3
444,MYL5
445,AKAP8
446,CDK19
447,PAK4
448,MCHR1
449,OTUD4
450,CANT1
451,KLHL36
452,RFC5
453,ARRB1
454,UNC13D
455,CRKL
456,SLC25A20
457,H2BC12
458,ZNF7
459,USP4
460,ARFGAP1
461,DECR2
462,USP6
463,PLS1
464,BMP2
465,CHIC2
466,SURF6
467,VNN3P
468,NUP85
469,AARS2
470,WFS1
471,TACO1
472,TXNDC9
473,DFFA
474,ERBB2
475,CATSPERD
476,BFAR
477,ZNF195
478,SMARCB1
479,DDX6
480,GALC
481,SRSF12
482,DDR1
483,APOE
484,RBP7
485,NTN4
486,LRP10
487,TOR1AIP1
488,SLC25A46
489,STAT5B
490,STOML3
491,IARS2
492,TMEM33
493,PYCARD
494,MED23
495,SLC35F3
496,LRPAP1
497,PDZD7
498,B3GNT9
499,F13A1
500,DAXX
501,PHYHIP
502,ABCA8
503,EHMT2
504,ATP6V1E2
505,PDE9A
506,TTC8
507,CREG1
508,AURKA
509,SRGAP1
510,CEP72
511,TMEM18
512,DBR1
513,HSPA5
514,EIF1B
515,ICA1L
516,DERA
517,IGFBP3
518,REPS1
519,HLA-DRA
520,PPP2R5A
521,EGLN1
522,GNPDA1
523,GPRIN1
524,RBL2
525,KANSL1
526,ODAD2
527,QPCTL
528,DHRS7
529,MON2
530,SLC16A4
531,MUC12
532,RAC3
533,SLC2A6
534,KDM2A
535,LRP4
536,TRIQK
537,GP6
538,CD8A
539,CLPX
540,HSPA1A
541,ACBD3
542,UGDH
543,FEZ2
544,TAP1
545,APRT
546,HADH
547,KIF17
548,TUBB6
549,LYN
550,SLC5A6
551,DHX29
552,TSPAN4
553,DCUN1D2
554,TM9SF3
555,SLC7A1
556,BLNK
557,SLC37A4
558,AK5
559,BBS2
560,ATF2
561,IDH1
562,DNAH14
563,RPS5
564,TMEM259
565,PACS1
566,EIF2B5
567,EFHC1
568,ZNF704
569,PKN1
570,BRD1
571,PROS1
572,NET1
573,DYNLT1
574,SLC4A11
575,STARD3
576,VPS72
577,FLNB
578,TMCC2
579,ERCC5
580,CKAP4
581,PHKG2
582,TLE1
583,TCFL5
584,KLHL3
585,ACTB
586,COG5
587,PDGFRA
588,UBASH3B
589,SNX21
590,PKM
591,SPAG16
592,ZIK1
593,PXMP4
594,PARVB
595,TRIM7
596,NDN
597,IDE
598,NNAT
599,NUP93
600,LIMD2
601,KCTD5
602,SET
603,PTGS2
604,GRB10
605,KLHDC2
606,CTNND1
607,DECR1
608,SLBP
609,DDX60
610,RASSF4
611,TOR4A
612,FBXO21
613,EXT1
614,UFM1
615,CCNA1
616,ZBTB14
617,PCBD1
618,DNAJB1
619,PEX6
620,DNTTIP2
621,DEK
622,WDR24
623,POLR3A
624,MAN2A1
625,CIAO3
626,ELOVL6
627,ITGB1BP1
628,RNF122
629,CATSPERB
630,OXCT1
631,PRTN3
632,TTC33
633,GRWD1
634,ST3GAL5
635,RUNDC3B
636,MAP2K1
637,MTFR1
638,PRCP
639,TRPM5
640,HMOX1
641,LRRK2
642,RPL30
643,DEPDC4
644,PPM1M
645,CSF1R
646,ACTR6
647,BRD4
648,MAPKAPK3
649,LARP4
650,PGM2
651,CLEC10A
652,NPDC1
653,BUB3
654,SLC27A5
655,RGS5
656,ZDHHC5
657,NPC1L1
658,MSRB3
659,PPIE
660,ADO
661,GPSM1
662,SH2B1
663,VARS2
664,CTTN
665,P4HTM
666,BIRC3
667,ZNF76
668,CHKA
669,KCNQ4
670,NDUFA13
671,ATP6V1G1
672,BNIP3L
673,RAB6A
674,PLSCR1
675,RAD51C
676,HGD
677,PTER
678,SOX4
679,CGRRF1
680,CDK4
681,PHF1
682,PCOLCE2
683,SLC25A45
684,LYSMD2
685,CCL20
686,AGL
687,GNB5
688,MDM2
689,GLIPR2
690,C2CD2L
691,AGAP3
692,NR2F2
693,HNRNPU
694,G3BP1
695,EPB41L2
696,SPAG4
697,DNAJB5
698,PARN
699,RFX5
700,NAMPT
701,COG4
702,ZNF253
703,GPC1
704,JAKMIP2
705,ECH1
706,CCDC127
707,NFKBID
708,SNX22
709,RIT1
710,CPNE7
711,FBXO11
712,MYCBP2
713,FGF11
714,SYPL1
715,TBP
716,KLHL24
717,THUMPD3
718,TEC
719,GPR146
720,ITPRID2
721,CTNNA3
722,CIAPIN1
723,SH3BP5
724,ETS1
725,MAP3K7
726,CBLB
727,DOK2
728,LPAR2
729,ABCA5
730,USP7
731,MOSPD3
732,SLC25A38
733,SCUBE1
734,HDAC1
735,FAM20B
736,SLC39A10
737,PIK3C3
738,PARP6
739,CSE1L
740,ECHS1
741,CHST11
742,CCDC92
743,YBEY
744,CLCN2
745,CAMK2B
746,TCIRG1
747,BMP4
748,CCDC90B
749,TFAP2A
750,PTK2B
751,DHX16
752,NCAPD2
753,SNRPA
754,USP30
755,MAPK11
756,KLHL11
757,TNFRSF9
758,LPIN2
759,ESR1
760,XAB2
761,CALU
762,CLDN4
763,NPRL2
764,TLK2
765,RUVBL2
766,ALG8
767,STAT3
768,SRPK1
769,EZH1
770,GPR183
771,PTPRM
772,LAT2
773,TMED4
774,PTMS
775,PDE1C
776,SNX2
777,PTPN11
778,PSMA8
779,GIGYF1
780,TRAK2
781,POLG2
782,ZNF543
783,DYRK1B
784,P2RY6
785,APMAP
786,GIPC2
787,BST2
788,ESR2
789,SLC35F2
790,BTRC
791,MSRA
792,ULK1
793,LPL
794,ANGPT1
795,RPUSD3
796,SPHK1
797,ZNF527
798,PMAIP1
799,SLC49A4
800,SCRN1
801,ZFHX2
802,TUBA1A
803,RAD9A
804,MXD4
805,ELOVL4
806,IDH2
807,INO80D
808,FANK1
809,SLC35A3
810,TNRC6C
811,FAIM
812,LOXL1
813,TNFSF10
814,CCT5
815,SERPINE1
816,AFMID
817,TMEM97
818,NEU4
819,C2CD2
820,CELF1
821,CRB1
822,GCC1
823,ARHGAP44
824,ZNF107
825,FFAR2
826,TRA2B
827,KIF5C
828,LRRC58
829,CALR
830,ZNF333
831,MYLK
832,YWHAQ
833,STX4
834,MTA1
835,ARF4
836,CASP3
837,LMO4
838,MYL9
839,TXNRD1
840,BCL2
841,LRP2
842,SCP2
843,COPB2
844,DNAJB6
845,DNM1L
846,CKAP2
847,FLT4
848,PLEKHM3
849,TRIM2
850,SIRPB2
851,TAFA2
852,TFB2M
853,RPP25L
854,PHF14
855,RTN2
856,NUP107
857,TPPP
858,TP53RK
859,EMC10
860,SUPT16H
861,UBTF
862,TMEM50A
863,UBQLN1
864,TRAPPC3
865,SUGT1
866,ABCF1
867,GLI2
868,RSPO2
869,PLK1
870,WDTC1
871,DLEU7
872,RNF149
873,MAPK10
874,TOR3A
875,UGGT2
876,PHRF1
877,HMGA2
878,CTNNAL1
879,BRD2
880,KRT2
881,WDR74
882,TBK1
883,ECHDC2
884,FAM114A1
885,FAM120AOS
886,NFE2L2
887,ZNF626
888,NPLOC4
889,MOAP1
890,SYNJ2
891,GLYR1
892,DNAH3
893,TBCEL
894,ELF2
895,NLE1
896,SMAGP
897,ROCK2
898,GDPD5
899,HEG1
900,PARVA
901,VPS37A
902,RPS6
903,SLC2A9
904,KDM4B
905,EED
906,PSMB8
907,HOXA7
908,SNRNP25
909,COL15A1
910,KAT6A
911,HSP90AA1
912,BDH1
913,ZNF619
914,TNFRSF21
915,SMOX
916,CSTB
917,CCR4
918,BCL9L
919,DLD
920,MAST2
921,IQCA1
922,MAN2B1
923,ANGPTL6
924,ASAH1
925,DLST
926,NOL3
927,CYB5R4
928,MOK
929,EBF1
930,SUZ12
931,EFCAB12
932,TEX264
933,RNF112
934,TEAD3
935,LRRC32
936,SPP1
937,CNOT4
938,XPNPEP1
939,TTC17
940,DNMT1
941,PRDX6
942,SYK
943,PRR16
944,ARL11
945,CCSER1
946,KIF14
947,SCYL2
948,CSF3
949,NDUFAF5
950,RABL3
951,KCNRG
952,SSBP2
953,ELK4
954,COL4A1
955,UNCX
956,TRAF2
957,KRT72
958,CCNE2
959,PDIA5
960,SCCPDH
961,GAPDH
962,ME2
963,ISL2
964,CYP1B1
965,NPM1
966,CYTH1
967,LSP1
968,TRAM2
969,FHL2
970,EHMT1
971,FEM1B
972,WARS1
973,PFKL
